,Live Data Exchange
,As of 2026-08-10 11:17:22 Pacific Standard Time/PST • Generated by Keith Boone • Sorted by Organization Name (Ascending)
,Filtered By
,Show: All organizations
,Organization Record Type equals IIS
,Organization ID not equal to 0015f000010meVq
,Organization Name,Organization Name,SME Name,IIS Vendor,List of Live IIS to IIS Data Exchange,TOTAL # of IIS to IIS Connections,List of Live Pro to IIS Data Exchange,TOTAL # of Provider to IIS Connections
,Louisiana,Louisiana,Tristi Bond,STChealth,"Tennessee, Washington, Wyoming, District of Columbia, West Virginia, Mississippi, Indiana, Puerto Rico, Ohio, Alaska, Arizona, South Dakota, Virginia, Arkansas, Kentucky",15,"RIISE, Veterans Administration (VistA)",2
,Maine,Maine,Jennifer Ratliff,Gainwell Technologies,,,Veterans Administration (VistA),1
,Maricopa County- Arizona,Maricopa County- Arizona,Amee DeMartino,STChealth,,,"RIISE, Veterans Administration (VistA)",2
,Marshall Islands - PI,Marshall Islands - PI,Natalie Johns,Envision Technology Partners,"American Samoa - PI, Micronesia - PI, N. Mariana Islands - PI, Palau - PI, Guam - PI",5
,Maryland,Maryland,Marley Vazquez,Gainwell Technologies,"Delaware, District of Columbia, Virginia, Puerto Rico, Virgin Islands U.S., Wisconsin, Illinois, Connecticut, New Mexico, Arizona, Kentucky, New Jersey, New York City - New York State, Pennsylvania - Philadelphia",14,"Department of Defense (DOD), RIISE, VAMS, Veterans Administration (VistA)",4
,Massachusetts,Massachusetts,Tristi Bond,SSG,,0,"RIISE, Veterans Administration",2
,Michigan,Michigan,Amee DeMartino,Awardee Developed - Kunz Leigh and Associates,"Illinois, Kentucky, Connecticut, Rhode Island, New Jersey, Florida, Utah, Indiana, Ohio, Mississippi, Tennessee",11,"RIISE, Veterans Administration (Oracle Health), Veterans Administration (VistA)",3
,Micronesia - PI,Micronesia - PI,Natalie Johns,Envision Technology Partners,"American Samoa - PI, Palau - PI, Marshall Islands - PI, N. Mariana Islands - PI, Guam - PI",5
,Minnesota,Minnesota,Amee DeMartino,,,,"DocStation, Fond du Lac, Veterans Administration (VistA)",3
,Mississippi,Mississippi,Chantel Hartman,STChealth,"Tennessee, Louisiana, Arkansas, Washington, Alaska, Arizona, District of Columbia, Indiana, Ohio, Puerto Rico, South Dakota, West Virginia, Wyoming, Florida, Illinois, Kentucky, Michigan, Missouri, Virginia",19,Veterans Administration (VistA),1
,Missouri,Missouri,Trenetria Manglona Steele,Envision Technology Partners,"Oklahoma, Arkansas, Nevada, Connecticut, New Mexico, Delaware, Kentucky, Florida, Indiana, Mississippi, Ohio, Tennessee, Kansas, Pennsylvania",14,"Mayo Clinic, RIISE, Veterans Administration (VistA)",3
,Montana,Montana,Jennifer Ratliff,STChealth,,,"Mayo Clinic, RIISE, Veterans Administration (Oracle Health), Veterans Administration (VistA)",4
,N. Mariana Islands - PI,N. Mariana Islands - PI,Natalie Johns,Envision Technology Partners,"American Samoa - PI, Palau - PI, Marshall Islands - PI, Micronesia - PI, Guam - PI",5
,Nebraska,Nebraska,Trenetria Manglona Steele,Gainwell Technologies,,,"RIISE, VAMS, Veterans Administration (VistA)",3
,Nevada,Nevada,Tristi Bond,Envision Technology Partners,"Oklahoma, New Mexico, Delaware, Arkansas, Colorado, Connecticut, Utah, Pennsylvania - Philadelphia, Kentucky, Oregon, Kansas, Missouri, Pennsylvania, Arizona, Washington, Wyoming",16,"AZOVA, RIISE, Veterans Administration (VistA)",3
,New Hampshire,New Hampshire,Tristi Bond,Envision Technology Partners,,,VAMS,1
,New Jersey,New Jersey,Crystal Edwards,Awardee Developed - NJ NJIIS,"Connecticut, Delaware, Rhode Island, Pennsylvania - Philadelphia, Kentucky, New York City - New York State, Florida, Michigan, Illinois, Utah, Wisconsin, Maryland, Ohio, Pennsylvania, Puerto Rico, Virgin Islands U.S., Virginia, West Virginia",18,"DaVita Physician Solutions, Mayo Clinic, VAMS, Veterans Administration (VistA)",4
,New Mexico,New Mexico,Tristi Bond,Envision Technology Partners,"Kentucky, Nevada, Oklahoma, Connecticut, Delaware, Kansas, Missouri, Arkansas, Utah, Colorado, Oregon, Texas, Puerto Rico, Maryland, Arizona, Virgin Islands U.S., Illinois, Washington, Wyoming, Pennsylvania",20,"RIISE, Veterans Administration (VistA)",2
,New York City - New York State,New York City - New York State,Marley Vazquez,Awardee Developed - HLN NY CIR,"Rhode Island, Connecticut, New Jersey, Pennsylvania - Philadelphia, Virgin Islands U.S., Florida, District of Columbia, Kentucky, Maryland, Ohio, Pennsylvania, Puerto Rico, Virginia, West Virginia",14,"RIISE, Veterans Administration (VistA)",2
,New York State,New York State,Marley Vazquez,Gainwell Technologies,,,Veterans Administration (VistA),1
