env,envId,sender_name,sender_id,cert_domain,receiver_destid,receiver_name,use_type,validUntil
production,1,Veterans Administration,114,vac10accessgwprd01.va.gov,mo,Missouri,PROVIDER,2026-12-16
production,1,Veterans Administration,114,cernerspaces.com,mo,Missouri,PROVIDER,2027-01-16
production,1,Veterans Administration,114,vac10accessgwprd01.va.gov,pr,Puerto Rico,PROVIDER,2026-12-16
production,1,Veterans Administration,114,cernerspaces.com,pr,Puerto Rico,PROVIDER,2027-01-16
production,1,Veterans Administration,114,vac10accessgwprd01.va.gov,ks,Kansas,PROVIDER,2026-12-16
production,1,Veterans Administration,114,cernerspaces.com,ks,Kansas,PROVIDER,2027-01-16
production,1,Veterans Administration,114,vac10accessgwprd01.va.gov,vt,Vermont,PROVIDER,2026-12-16
production,1,Veterans Administration,114,cernerspaces.com,vt,Vermont,PROVIDER,2027-01-16
production,1,Veterans Administration,114,vac10accessgwprd01.va.gov,ma,Massachusetts,PROVIDER,2026-12-16
production,1,Veterans Administration,114,cernerspaces.com,ma,Massachusetts,PROVIDER,2027-01-16
production,1,Veterans Administration,114,vac10accessgwprd01.va.gov,pa,Pennsylvania,PROVIDER,2026-12-16
production,1,Veterans Administration,114,cernerspaces.com,pa,Pennsylvania,PROVIDER,2027-01-16
production,1,Veterans Administration,114,vac10accessgwprd01.va.gov,vi,Virgin Islands U.S.,PROVIDER,2026-12-16
production,1,Veterans Administration,114,cernerspaces.com,vi,Virgin Islands U.S.,PROVIDER,2027-01-16
onboarding,3,AZOVA,105,staging.azova.com,nv,Nevada,PROVIDER,2026-12-09
onboarding,3,AZOVA,105,staging.azova.com,ut,Utah,PROVIDER,2026-12-09
onboarding,3,DaVita Physician Solutions,106,test.davita.com,nj,New Jersey,PROVIDER,2027-06-16
onboarding,3,DaVita Physician Solutions,106,test.davita.com,va,Virginia,PROVIDER,2027-06-16
onboarding,3,DaVita Physician Solutions,106,test.davita.com,ca,California,PROVIDER,2027-06-16
onboarding,3,DocStation,108,docstation.co,mn,Minnesota,PROVIDER,2027-08-06
onboarding,3,Fresenius Medical Care,110,iris-nonprod.freseniusmedicalcare.com,co,Colorado,PROVIDER,2026-09-09
onboarding,3,Fresenius Medical Care,110,iris-nonprod.freseniusmedicalcare.com,ar,Arkansas,PROVIDER,2026-09-09
onboarding,3,Mayo Clinic,111,test.mayo.qvera.com,dc,District of Columbia,PROVIDER,2026-11-13
onboarding,3,Mayo Clinic,111,test.mayo.qvera.com,mt,Montana,PROVIDER,2026-11-13
onboarding,3,Mayo Clinic,111,test.mayo.qvera.com,in,Indiana,PROVIDER,2026-11-13
onboarding,3,Mayo Clinic,111,test.mayo.qvera.com,ak,Alaska,PROVIDER,2026-11-13
onboarding,3,Mayo Clinic,111,test.mayo.qvera.com,nj,New Jersey,PROVIDER,2026-11-13
onboarding,3,Mayo Clinic,111,test.mayo.qvera.com,co,Colorado,PROVIDER,2026-11-13
onboarding,3,Mayo Clinic,111,test.mayo.qvera.com,nd,North Dakota,PROVIDER,2026-11-13
onboarding,3,Mayo Clinic,111,test.mayo.qvera.com,mo,Missouri,PROVIDER,2026-11-13
onboarding,3,RIISE,112,riisetest.cdc.gov,ct,Connecticut,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,ca,California,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,co,Colorado,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,ak,Alaska,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,az,Arizona,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,ar,Arkansas,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,de,Delaware,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,dc,District of Columbia,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,fl,Florida,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,id,Idaho,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,il,Illinois,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,in,Indiana,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,ky,Kentucky,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,la,Louisiana,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,ma,Massachusetts,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,mi,Michigan,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,mo,Missouri,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,mt,Montana,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,ne,Nebraska,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,nv,Nevada,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,nm,New Mexico,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,nyc,New York City - New York State,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,nc,North Carolina,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,nd,North Dakota,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,oh,Ohio,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,or,Oregon,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,ok,Oklahoma,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,ph,Pennsylvania - Philadelphia,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,ri,Rhode Island,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,sd,South Dakota,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,tn,Tennessee,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,ut,Utah,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,wa,Washington,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,wv,West Virginia,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,wi,Wisconsin,PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,md_c,Maryland (Provider Connect),PROVIDER,2027-04-13
onboarding,3,RIISE,112,riisetest.cdc.gov,pa,Pennsylvania,PROVIDER,2027-04-13
onboarding,3,VAMS,113,clinics-sit.olympus-tst.com,va,Virginia,PROVIDER,2027-03-06
onboarding,3,VAMS,113,clinics-sit.olympus-tst.com,ks,Kansas,PROVIDER,2027-03-06
onboarding,3,VAMS,113,clinics-sit.olympus-tst.com,wv,West Virginia,PROVIDER,2027-03-06
onboarding,3,VAMS,113,clinics-sit.olympus-tst.com,ct,Connecticut,PROVIDER,2027-03-06
onboarding,3,VAMS,113,clinics-sit.olympus-tst.com,de,Delaware,PROVIDER,2027-03-06
onboarding,3,VAMS,113,clinics-sit.olympus-tst.com,ut,Utah,PROVIDER,2027-03-06
onboarding,3,VAMS,113,clinics-sit.olympus-tst.com,nh,New Hampshire,PROVIDER,2027-03-06
onboarding,3,VAMS,113,clinics-sit.olympus-tst.com,ne,Nebraska,PROVIDER,2027-03-06
onboarding,3,VAMS,113,clinics-sit.olympus-tst.com,md_c,Maryland (Provider Connect),PROVIDER,2027-03-06
onboarding,3,VAMS,113,clinics-sit.olympus-tst.com,nj,New Jersey,PROVIDER,2027-03-06
onboarding,3,VAMS,113,clinics-sit.olympus-tst.com,ri,Rhode Island,PROVIDER,2027-03-06
onboarding,3,Veterans Administration,114,vac10accessgwsqa01.va.gov,ky,Kentucky,PROVIDER,2026-12-16
onboarding,3,Veterans Administration,114,preprodcernerspaces.com,ky,Kentucky,PROVIDER,2027-05-08
onboarding,3,Veterans Administration,114,vac10accessgwsqa01.va.gov,in,Indiana,PROVIDER,2026-12-16
