env,envId,domain,organization,sender_type,entityId,entityName,status,authExpiresAt
onboarding,3,FSM-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,45,PI - Federated States of Micronesia,authorized,2027-05-25
onboarding,3,Guam-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,47,PI - PI Guam,authorized,2027-05-25
onboarding,3,KS-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,19,KS WebIZ,authorized,2027-05-25
onboarding,3,KY-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,20,KY KYIR,authorized,2027-05-25
onboarding,3,MO-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,27,MO ShowMeVax,authorized,2027-05-25
onboarding,3,NV-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,36,NV WebIZ,authorized,2027-05-25
onboarding,3,NH-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,33,NH VaxNH,authorized,2027-05-25
onboarding,3,NM-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,35,NM NMSIIS,authorized,2027-05-25
onboarding,3,OK-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,40,OK OSIIS,authorized,2027-05-25
onboarding,3,Palau-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,46,PI - Palau,authorized,2027-05-25
onboarding,3,Philly-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,42,PA PHIL,authorized,2027-05-25
onboarding,3,RMI-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,49,PI - Republic of the Marshall Islands,authorized,2027-05-25
onboarding,3,SC-test.izgateway.envisiontechnology.com,Envision Technology Partners Inc.,jurisdiction,52,SC SCI,authorized,2027-05-25
onboarding,3,riisetest.cdc.gov,Division of Global Migration Health (DGMH),sender,112,RIISE,authorized,2027-04-13
onboarding,3,vac10accessgwsqa01.va.gov,Veterans Data Integration and Federation Enterprise Platform,sender,114,Veterans Administration,authorized,2026-12-16
onboarding,3,preprodcernerspaces.com,Cerner Corporation,sender,114,Veterans Administration,authorized,2027-05-08
onboarding,3,docstation.co,DocStation Inc.,sender,108,DocStation,authorized,2027-08-06
onboarding,3,test.davita.com,DaVita Inc,sender,106,DaVita Physician Solutions,authorized,2027-06-16
onboarding,3,staging.azova.com,Azova Inc.,sender,105,AZOVA,authorized,2026-12-09
onboarding,3,test.mayo.qvera.com,Qvera LLC.,sender,111,Mayo Clinic,authorized,2026-11-13
onboarding,3,beta.dockethealth.com,DOCKET HEALTH INC.,sender,101,Docket,authorized,2027-02-05
onboarding,3,ehealthexchange.org,Healtheway Inc.,sender,100,eHealth Exchange,authorized,2026-09-09
onboarding,3,iris-nonprod.freseniusmedicalcare.com,Fresenius Medical Care Holdings Inc.,sender,110,Fresenius Medical Care,authorized,2026-09-09
onboarding,3,test-izgateway.adph.state.al.us,Alabama Department of Public Health,jurisdiction,4,AL ImmPRINT,authorized,2027-04-08
